,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1996-01-01,3.1,0.9,2,3,-1.7,0.4,1.7,97.6,0.346,100,8.33,"rain,snow",,,,9.6,82.9,1000.6,99,2.2,,,,,1996-01-01T08:16:26,1996-01-01T16:02:23,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
1,"Coventry, England, United Kingdom",1996-01-02,4.1,1.9,2.9,4.1,0.8,2.7,2.7,98.7,0.008,100,8.33,rain,,,,6.3,69.5,1012.7,100,0.8,,,,,1996-01-02T08:16:19,1996-01-02T16:03:28,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
2,"Coventry, England, United Kingdom",1996-01-03,5.3,3,4.2,2.6,-0.9,1.3,3.5,95.2,0,0,0,,,,,21.3,143,1019,95.6,4.1,,,,,1996-01-03T08:16:08,1996-01-03T16:04:35,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
3,"Coventry, England, United Kingdom",1996-01-04,6.8,3.4,4.6,3.2,-1.2,0.4,3,89.4,0.016,100,4.17,rain,,,,27,139.6,1006.8,96.3,8.3,,,,,1996-01-04T08:15:55,1996-01-04T16:05:45,0.45,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
4,"Coventry, England, United Kingdom",1996-01-05,6.8,6,6.4,4.9,2.2,3.5,5.6,95.3,0.2,100,8.33,rain,,,,25.9,135.1,997,97.9,3.7,,,,,1996-01-05T08:15:37,1996-01-05T16:06:58,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
5,"Coventry, England, United Kingdom",1996-01-06,7.2,4.6,5.9,6.1,-0.4,2.3,4.8,93.2,1.072,100,4.17,rain,,,,35.1,117.6,989.9,97.1,7,,,,,1996-01-06T08:15:17,1996-01-06T16:08:13,0.52,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
6,"Coventry, England, United Kingdom",1996-01-07,9,5.2,7.5,6.2,0.4,4.3,5.7,88.3,5.507,100,8.33,rain,,,,32,170,986.9,85,13.9,,,,,1996-01-07T08:14:52,1996-01-07T16:09:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1996-01-08,10.4,5.8,8.6,10.4,3.6,5.9,6.3,86.2,1.3,100,4.17,rain,,40,,33.5,156.9,996.6,92.6,16.8,,,,,1996-01-08T08:14:25,1996-01-08T16:10:51,0.59,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
8,"Coventry, England, United Kingdom",1996-01-09,11.1,8.2,9.2,11.1,5.2,7,7.3,88.4,1.642,100,8.33,rain,,,,25.5,161.8,993.7,88.3,16.7,,,,,1996-01-09T08:13:54,1996-01-09T16:12:13,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
9,"Coventry, England, United Kingdom",1996-01-10,9.6,5.2,7.1,8.1,3.4,5.4,5.8,91.7,0.109,100,8.33,rain,,,,18.6,163.8,1002.9,57.2,14.4,,,,,1996-01-10T08:13:20,1996-01-10T16:13:38,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
10,"Coventry, England, United Kingdom",1996-01-11,8.7,5.5,7,6.1,2.2,3.7,5.6,90.8,0.063,100,4.17,rain,,,,30.9,139.6,991.3,94.8,10.9,,,,,1996-01-11T08:12:43,1996-01-11T16:15:05,0.69,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
11,"Coventry, England, United Kingdom",1996-01-12,10.1,8.7,9.3,10.1,5.4,6.4,7,85.6,0.704,100,8.33,rain,,,,28.8,159.2,989.5,88.4,13.7,,,,,1996-01-12T08:12:02,1996-01-12T16:16:34,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
12,"Coventry, England, United Kingdom",1996-01-13,10.3,8.4,9.3,10.3,5.7,7,6.6,83.3,0.101,100,4.17,rain,,,,27.9,184.4,1003.2,81.7,20.4,,,,,1996-01-13T08:11:18,1996-01-13T16:18:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
13,"Coventry, England, United Kingdom",1996-01-14,9.5,6.9,8.3,7.3,3.6,5.4,6.2,86.6,0,0,0,,,,,22.4,131.6,1013,91.3,13.6,,,,,1996-01-14T08:10:32,1996-01-14T16:19:38,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
14,"Coventry, England, United Kingdom",1996-01-15,10.2,4.3,7.4,10.2,4.1,6.9,6.3,93,0.006,100,4.17,rain,,,,16.4,146.2,1021.7,91.7,4.6,,,,,1996-01-15T08:09:42,1996-01-15T16:21:12,0.83,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
